iter	Passed	Remaining
0	1	127
1	2	120
2	3	118
3	4	110
4	5	109
5	6	109
6	8	108
7	9	106
8	10	105
9	11	103
10	12	102
11	13	101
12	14	99
13	16	99
14	17	98
15	18	97
16	19	95
17	20	94
18	21	93
19	23	92
20	24	91
21	25	89
22	26	88
23	27	87
24	28	85
25	29	84
26	31	84
27	32	82
28	33	81
29	34	80
30	35	79
31	36	78
32	37	76
33	39	75
34	40	74
35	41	73
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	54
53	62	52
54	62	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	40
65	75	39
66	76	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	114	0
